trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.7891000743318,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.26888838779915,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.67468428028565,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.6801967946421,"{0: 8, 1: 4, 2: 11, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,10,-56.68527574388969,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.6238350145501,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.3445895350668,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-8.864489479514639,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-288.01339140312285,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.5361927191084,"{0: 11, 1: 3, 2: 0, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,20,-15.537981793715492,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.32710250697069,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.22617246244762,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,8,-113.74851159358626,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.52586217971584,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-194.33585532546797,"{0: 12, 1: 5, 2: 2, 3: 4, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-227.56155459793715,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.15697082964576,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.4560139950416,"{0: 15, 1: 6, 2: 5, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.0841775593187,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.82952595373723,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-5.538394558668947,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.6750739294095,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,3,-88.24431185347461,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.8295317732509,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,8,-43.905083083013324,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.15327695065338,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.59331794240389,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-275.50323381920066,"{0: 11, 1: 2, 2: 4, 3: 4, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-181.49767414275013,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
