trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999998630611142}",25,0,-98.01384054887157,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999994522444945}",25,0,-206.7969910360018,"{0: 13, 1: 6, 2: 2, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9999987675502532}",20,0,-101.11123073436532,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999978089785779}",20,0,-69.7765792523417,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999965765297312}",20,0,-135.6763169367246,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999950702040505}",25,9,-46.6762071094125,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9999932900019485}",20,0,-65.0337746682892,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9999912359239126}",25,0,-110.75728886816592,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999889079705055}",25,0,-127.76888174411718,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999863061423648}",20,0,-157.2947596840542,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.999983430440203}",25,0,-163.21674532661245,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9999802808648077}",25,0,-169.00117003840353,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9999768574170416}",20,0,-102.85877291401032,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.999973160097842}",20,0,-142.46806815364238,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9999691889082218}",20,0,-242.70517114097248,"{0: 6, 1: 3, 2: 7, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9999649438492686}",20,0,-129.0587146430872,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.999960424922145}",30,0,-204.2836427171351,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9999556321280886}",30,0,-267.0093299620803,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.999950565468412}",20,0,-184.66713231008404,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
